Recency,Frequency,Monetary,Country,Churn
201,2,300.95,United Kingdom,1
46,5,1804.56,United Kingdom,0
232,1,184.64,United Kingdom,1
66,1,140.34,United Kingdom,0
241,1,313.8,United Kingdom,1
233,1,454.24,United Kingdom,1
78,3,1122.41,United Kingdom,0
58,3,575.4,United Kingdom,0
17,13,8915.86,United Kingdom,0
105,4,357.12,United Kingdom,1
52,10,1211.82,United Kingdom,0
136,3,1269.84,Switzerland,1
275,2,526.1999999999999,Switzerland,1
312,1,316.26000000000005,United Kingdom,1
8,5,2044.8700000000001,United Kingdom,0
11,2,653.33,United Kingdom,0
283,2,348.05,United Kingdom,1
18,5,1117.35,United Kingdom,0
23,3,1166.77,United Kingdom,0
288,1,1340.32,Switzerland,1
17,3,292.0,United Kingdom,0
71,1,216.85,United Kingdom,0
64,1,295.93,United Kingdom,0
73,4,3917.68,Switzerland,0
316,2,458.52,United Kingdom,1
3,4,2479.16,United Kingdom,0
244,1,110.97,United Kingdom,1
9,7,979.67,United Kingdom,0
1,4,1791.56,United Kingdom,0
261,1,251.21,United Kingdom,1
127,1,205.1,United Kingdom,1
74,1,152.20000000000002,United Kingdom,0
73,4,891.12,United Kingdom,0
21,3,1316.96,United Kingdom,0
60,3,2128.42,United Kingdom,0
86,1,627.16,United Kingdom,0
78,1,122.75,United Kingdom,0
59,6,3223.5499999999997,Switzerland,0
1,3,1071.73,United Kingdom,0
30,1,125.80000000000001,United Kingdom,0
33,5,3646.78,United Kingdom,0
41,5,680.08,United Kingdom,0
15,2,512.78,United Kingdom,0
34,7,2242.36,United Kingdom,0
79,2,295.76,United Kingdom,0
205,2,483.8,United Kingdom,1
34,1,210.31,United Kingdom,0
183,3,269.09,United Kingdom,1
2,25,5870.08,United Kingdom,0
1,7,3444.39,United Kingdom,0
43,7,1280.85,United Kingdom,0
86,3,627.34,United Kingdom,0
40,2,276.06,United Kingdom,0
12,3,621.09,United Kingdom,0
96,2,678.16,United Kingdom,1
26,7,918.2,United Kingdom,0
319,1,91.80000000000001,United Kingdom,1
66,12,3740.07,United Kingdom,0
74,4,4098.88,United Kingdom,0
28,2,584.06,United Kingdom,0
6,4,594.52,United Kingdom,0
7,1,171.42000000000002,United Kingdom,0
216,1,141.85999999999999,United Kingdom,1
82,3,1799.33,United Kingdom,0
84,2,557.4300000000001,United Kingdom,0
144,3,1188.98,United Kingdom,1
19,2,240.22,United Kingdom,0
41,2,856.84,United Kingdom,0
173,1,187.05,United Kingdom,1
17,2,336.62,United Kingdom,0
243,1,239.49,United Kingdom,1
13,12,2083.94,United Kingdom,0
206,1,1384.25,United Kingdom,1
50,2,281.61,United Kingdom,0
23,5,732.0699999999999,United Kingdom,0
10,18,6713.34,United Kingdom,0
25,4,1687.6000000000001,United Kingdom,0
15,2,467.04,United Kingdom,0
309,1,118.0,United Kingdom,1
156,1,781.03,United Kingdom,1
307,1,142.4,United Kingdom,1
64,1,592.4,United Kingdom,0
16,9,2474.95,United Kingdom,0
15,2,369.6,United Kingdom,0
11,6,1926.72,United Kingdom,0
65,3,1117.13,United Kingdom,0
36,4,245.95999999999998,United Kingdom,0
108,5,2011.88,United Kingdom,1
53,1,397.47,United Kingdom,0
6,2,664.11,United Kingdom,0
47,1,160.04,United Kingdom,0
1,21,5074.92,United Kingdom,0
312,1,219.52,United Kingdom,1
45,2,693.32,United Kingdom,0
65,1,428.89,United Kingdom,0
26,1,164.34,United Kingdom,0
29,3,276.75,United Kingdom,0
40,1,675.51,United Kingdom,0
12,7,1072.33,United Kingdom,0
89,3,1154.4,United Kingdom,0
24,4,1561.46,United Kingdom,0
319,1,417.69,United Kingdom,1
40,3,544.18,United Kingdom,0
174,1,177.34,United Kingdom,1
117,1,221.85,United Kingdom,1
31,5,727.74,United Kingdom,0
253,1,257.23,United Kingdom,1
59,5,1563.11,United Kingdom,0
23,11,7024.56,United Kingdom,0
5,7,2006.34,United Kingdom,0
100,11,3070.42,United Kingdom,1
25,5,2118.93,United Kingdom,0
33,5,1547.3600000000001,United Kingdom,0
68,1,1071.03,United Kingdom,0
37,5,947.42,United Kingdom,0
52,3,804.3,United Kingdom,0
16,1,122.64,United Kingdom,0
74,1,993.74,United Kingdom,0
216,1,309.28000000000003,United Kingdom,1
31,3,519.44,United Kingdom,0
16,4,2608.51,United Kingdom,0
120,1,252.1,United Kingdom,1
10,4,1648.1200000000001,United Kingdom,0
257,2,346.6,United Kingdom,1
17,6,1836.34,United Kingdom,0
35,2,94.14999999999999,United Kingdom,0
46,3,1095.08,United Kingdom,0
43,6,2710.53,United Kingdom,0
114,2,932.97,United Kingdom,1
165,2,384.45,United Kingdom,1
11,2,382.09000000000003,United Kingdom,0
10,5,2531.97,United Kingdom,0
206,2,1476.95,United Kingdom,1
86,3,873.26,United Kingdom,0
179,1,189.47,United Kingdom,1
60,3,84.65,United Kingdom,0
149,1,299.05,United Kingdom,1
3,21,6227.81,United Kingdom,0
51,2,223.35,United Kingdom,0
75,1,349.7,United Kingdom,0
301,2,186.39000000000001,United Kingdom,1
19,2,372.44,United Kingdom,0
151,2,486.82000000000005,United Kingdom,1
152,1,234.51999999999998,United Kingdom,1
1,4,3719.12,United Kingdom,0
18,4,827.83,United Kingdom,0
187,1,59.5,United Kingdom,1
286,1,65.13,United Kingdom,1
3,7,790.12,United Kingdom,0
183,1,72.0,United Kingdom,1
63,1,910.0,United Kingdom,0
59,1,172.25,United Kingdom,0
25,3,1467.32,United Kingdom,0
4,50,55220.26,United Kingdom,0
31,15,2503.93,United Kingdom,0
39,1,151.29999999999998,United Kingdom,0
155,1,308.58000000000004,United Kingdom,1
26,10,2248.63,United Kingdom,0
318,1,99.5,United Kingdom,1
5,9,2306.06,United Kingdom,0
8,3,561.8100000000001,United Kingdom,0
303,1,320.79,United Kingdom,1
267,2,785.41,United Kingdom,1
271,1,285.33,United Kingdom,1
4,13,6277.5,United Kingdom,0
32,1,180.48,United Kingdom,0
219,2,252.06,United Kingdom,1
247,1,228.84,United Kingdom,1
281,5,1077.39,United Kingdom,1
269,1,138.28,United Kingdom,1
32,6,1443.97,United Kingdom,0
246,2,308.55,United Kingdom,1
15,5,1031.63,United Kingdom,0
117,4,786.65,United Kingdom,1
36,1,524.14,United Kingdom,0
132,3,2340.13,United Kingdom,1
217,1,199.85000000000002,United Kingdom,1
50,8,1980.56,United Kingdom,0
39,2,1079.6599999999999,United Kingdom,0
29,2,333.48,United Kingdom,0
37,6,1016.14,United Kingdom,0
136,2,752.6,United Kingdom,1
219,2,610.59,United Kingdom,1
28,1,491.86,United Kingdom,0
25,4,2878.54,United Kingdom,0
5,2,721.8,United Kingdom,0
200,1,339.59999999999997,United Kingdom,1
18,1,216.9,United Kingdom,0
241,1,350.75,United Kingdom,1
72,3,668.4300000000001,United Kingdom,0
17,12,3093.87,United Kingdom,0
3,7,1306.8,United Kingdom,0
95,2,1073.56,United Kingdom,1
162,1,300.04,United Kingdom,1
374,1,79.6,United Kingdom,1
96,5,948.25,United Kingdom,1
54,5,1647.26,United Kingdom,0
288,1,296.25,United Kingdom,1
124,6,1159.33,United Kingdom,1
288,1,741.26,United Kingdom,1
152,2,282.59999999999997,United Kingdom,1
4,9,2090.91,United Kingdom,0
2,14,5056.320000000001,United Kingdom,0
12,7,3149.87,United Kingdom,0
33,2,659.4100000000001,United Kingdom,0
54,2,286.79,United Kingdom,0
50,2,1070.65,United Kingdom,0
219,1,306.72,United Kingdom,1
63,1,1714.96,United Kingdom,0
71,3,1519.42,United Kingdom,0
2,37,16451.96,United Kingdom,0
2,10,2788.51,United Kingdom,0
64,4,2634.45,United Kingdom,0
34,3,1120.63,United Kingdom,0
82,1,345.0,United Kingdom,0
1,33,19605.52,United Kingdom,0
103,1,178.7,United Kingdom,1
7,2,338.21,United Kingdom,0
251,1,127.84,United Kingdom,1
13,6,908.86,United Kingdom,0
10,11,2115.75,United Kingdom,0
367,1,230.39999999999998,United Kingdom,1
76,2,309.04,United Kingdom,0
4,1,348.8,United Kingdom,0
128,2,1400.0,United Kingdom,1
66,2,195.55,United Kingdom,0
1,57,35830.27,United Kingdom,0
117,2,688.86,United Kingdom,1
310,1,556.32,United Kingdom,1
67,1,324.8,United Kingdom,0
139,3,4382.62,United Kingdom,1
255,1,277.07,United Kingdom,1
31,7,2584.39,United Kingdom,0
52,2,804.2,United Kingdom,0
64,1,256.38,United Kingdom,0
367,1,112.6,United Kingdom,1
6,5,1717.66,United Kingdom,0
305,1,155.05,Cyprus,1
29,3,890.26,Germany,0
184,3,594.5,Germany,1
42,3,529.85,Germany,0
40,4,1333.31,Germany,0
92,2,1567.12,Germany,1
22,4,3871.08,Germany,0
24,2,534.47,Germany,0
29,2,373.83,Germany,0
302,3,1140.35,United Kingdom,1
145,2,385.64,United Kingdom,1
6,2,638.3,United Kingdom,0
19,2,957.66,United Kingdom,0
33,5,1698.94,United Kingdom,0
176,1,189.5,United Kingdom,1
58,3,405.8,United Kingdom,0
22,1,209.49,United Kingdom,0
16,6,2178.0499999999997,United Kingdom,0
19,1,52.199999999999996,United Kingdom,0
159,1,383.85,United Kingdom,1
25,4,832.57,United Kingdom,0
212,2,266.59000000000003,United Kingdom,1
6,4,674.82,United Kingdom,0
253,1,85.0,United Kingdom,1
59,9,3362.62,United Kingdom,0
11,1,361.62,United Kingdom,0
65,1,312.98,United Kingdom,0
25,3,863.36,United Kingdom,0
92,3,250.2,United Kingdom,1
52,2,1537.95,United Kingdom,0
129,1,1595.48,United Kingdom,1
96,3,1985.46,United Kingdom,1
57,1,1090.14,United Kingdom,0
9,25,8109.5199999999995,United Kingdom,0
169,3,372.9,United Kingdom,1
57,1,216.17,United Kingdom,0
326,1,201.16,United Kingdom,1
1,5,1245.9,United Kingdom,0
18,8,2209.36,United Kingdom,0
248,1,305.78,United Kingdom,1
58,4,501.56,United Kingdom,0
74,1,145.67000000000002,United Kingdom,0
31,3,1005.09,United Kingdom,0
7,2,722.34,United Kingdom,0
123,4,3083.65,United Kingdom,1
2,8,2766.94,United Kingdom,0
23,13,6403.25,United Kingdom,0
120,3,389.6,United Kingdom,1
358,1,436.45,United Kingdom,1
54,5,1786.79,United Kingdom,0
64,1,122.7,United Kingdom,0
86,1,117.24,United Kingdom,0
55,1,1267.57,United Kingdom,0
21,13,3215.77,United Kingdom,0
4,20,15281.68,United Kingdom,0
3,5,1156.03,United Kingdom,0
11,5,2670.48,United Kingdom,0
7,5,787.6,United Kingdom,0
189,2,506.8,United Kingdom,1
71,1,243.56,United Kingdom,0
204,1,349.55,United Kingdom,1
120,2,595.67,United Kingdom,1
93,1,416.90000000000003,United Kingdom,1
1,10,1883.8100000000002,United Kingdom,0
27,4,552.93,United Kingdom,0
298,1,821.1,United Kingdom,1
24,3,564.62,United Kingdom,0
28,4,2593.07,United Kingdom,0
50,1,311.16,United Kingdom,0
326,1,155.93,United Kingdom,1
16,2,388.52,United Kingdom,0
183,3,740.95,United Kingdom,1
72,5,2807.2,United Kingdom,0
37,2,332.64,United Kingdom,0
80,4,2334.5,United Kingdom,0
57,9,2504.11,United Kingdom,0
12,2,626.45,United Kingdom,0
50,2,272.04,United Kingdom,0
50,2,1024.44,United Kingdom,0
59,2,376.71,Denmark,0
352,1,172.25,United Kingdom,1
54,1,351.13,United Kingdom,0
2,6,1834.8500000000001,United Kingdom,0
93,4,668.25,United Kingdom,1
23,1,198.85000000000002,United Kingdom,0
75,1,348.99,United Kingdom,0
11,4,464.57,United Kingdom,0
169,2,842.65,United Kingdom,1
58,2,337.34,United Kingdom,0
96,2,1237.53,United Kingdom,1
295,1,307.4,United Kingdom,1
109,2,608.7900000000001,United Kingdom,1
264,1,922.1,United Kingdom,1
180,1,376.58,United Kingdom,1
169,1,158.85,United Kingdom,1
35,1,71.66,United Kingdom,0
23,3,568.55,United Kingdom,0
17,4,839.14,United Kingdom,0
22,5,4831.28,United Kingdom,0
79,3,546.4499999999999,United Kingdom,0
65,1,90.6,United Kingdom,0
361,1,102.0,United Kingdom,1
3,6,2438.2,United Kingdom,0
11,4,733.01,United Kingdom,0
176,3,674.45,United Kingdom,1
218,2,3247.19,United Kingdom,1
7,7,1315.68,United Kingdom,0
2,2,429.92,United Kingdom,0
154,2,322.96,United Kingdom,1
5,5,1004.27,United Kingdom,0
79,3,594.04,United Kingdom,0
21,2,230.22,United Kingdom,0
22,2,162.55,United Kingdom,0
308,4,664.54,United Kingdom,1
146,1,80.7,United Kingdom,1
7,18,8789.02,United Kingdom,0
19,8,2758.26,United Kingdom,0
71,2,190.25,United Kingdom,0
287,1,264.7,United Kingdom,1
49,1,413.59000000000003,United Kingdom,0
31,6,2461.2400000000002,United Kingdom,0
207,1,357.98,United Kingdom,1
15,2,196.79000000000002,United Kingdom,0
73,1,869.87,United Kingdom,0
60,1,200.14,United Kingdom,0
39,4,1871.81,United Kingdom,0
30,12,1823.13,United Kingdom,0
27,5,615.23,United Kingdom,0
4,15,7058.13,United Kingdom,0
17,1,290.21999999999997,United Kingdom,0
20,6,4095.91,United Kingdom,0
66,2,1215.92,United Kingdom,0
213,1,311.3,United Kingdom,1
12,6,852.88,United Kingdom,0
30,1,76.8,United Kingdom,0
43,9,3382.31,United Kingdom,0
4,6,2274.14,United Kingdom,0
15,5,1393.69,United Kingdom,0
10,12,3901.81,United Kingdom,0
211,1,613.1,United Kingdom,1
46,3,2043.0800000000002,United Kingdom,0
134,2,534.93,United Kingdom,1
43,7,4582.64,United Kingdom,0
10,5,2824.32,United Kingdom,0
116,3,961.19,United Kingdom,1
198,2,695.61,United Kingdom,1
278,1,328.8,United Kingdom,1
110,3,473.02,United Kingdom,1
77,1,505.18,United Kingdom,0
53,1,917.34,United Kingdom,0
162,4,4256.11,EIRE,1
47,3,1412.97,United Kingdom,0
17,2,642.8,United Kingdom,0
155,3,631.9,United Kingdom,1
225,1,440.0,United Kingdom,1
7,2,584.07,United Kingdom,0
122,2,327.7,United Kingdom,1
61,1,104.82,United Kingdom,0
63,2,467.66,United Kingdom,0
18,8,1931.69,United Kingdom,0
7,19,15674.78,United Kingdom,0
2,11,2975.59,United Kingdom,0
22,3,620.89,United Kingdom,0
29,5,1427.97,United Kingdom,0
285,1,626.65,United Kingdom,1
176,2,147.20000000000002,United Kingdom,1
78,3,1560.38,United Kingdom,0
33,1,152.2,United Kingdom,0
41,12,3560.32,United Kingdom,0
266,1,141.41,United Kingdom,1
27,4,611.42,United Kingdom,0
109,4,1594.8,United Kingdom,1
284,1,154.99,United Kingdom,1
9,5,1308.6100000000001,United Kingdom,0
305,1,409.93,United Kingdom,1
17,4,5501.67,United Kingdom,0
32,2,746.36,United Kingdom,0
1,23,15610.34,United Kingdom,0
20,1,225.36,United Kingdom,0
124,2,260.25,United Kingdom,1
65,1,92.46,United Kingdom,0
106,1,725.6400000000001,United Kingdom,1
1,23,8152.71,United Kingdom,0
24,17,6039.82,United Kingdom,0
267,1,183.6,United Kingdom,1
5,19,6099.62,United Kingdom,0
10,12,10269.25,United Kingdom,0
29,5,1066.5,United Kingdom,0
267,1,152.55,United Kingdom,1
64,2,370.7,United Kingdom,0
320,1,265.85,United Kingdom,1
4,8,1435.57,United Kingdom,0
32,1,151.04,United Kingdom,0
5,3,942.26,United Kingdom,0
129,1,116.67,United Kingdom,1
41,5,499.41999999999996,United Kingdom,0
102,6,1049.37,United Kingdom,1
125,1,373.1,United Kingdom,1
33,1,45.599999999999994,United Kingdom,0
302,2,921.62,United Kingdom,1
365,1,182.25,United Kingdom,1
4,9,1000.9,United Kingdom,0
2,18,4416.29,United Kingdom,0
3,1,192.97,United Kingdom,0
10,13,49832.06,United Kingdom,0
57,1,158.75,United Kingdom,0
325,1,76.32000000000001,United Kingdom,1
8,14,4076.91,United Kingdom,0
12,1,433.86,United Kingdom,0
4,17,52604.42,United Kingdom,0
37,1,147.35,United Kingdom,0
16,11,3103.37,United Kingdom,0
138,1,191.95000000000002,United Kingdom,1
74,6,4474.79,United Kingdom,0
5,5,1105.8799999999999,United Kingdom,0
155,2,137.18,United Kingdom,1
239,1,1266.23,United Kingdom,1
52,7,2703.23,United Kingdom,0
31,2,596.21,United Kingdom,0
73,1,144.2,United Kingdom,0
4,12,5683.15,United Kingdom,0
14,4,679.6,United Kingdom,0
23,7,2915.15,United Kingdom,0
4,4,1840.42,United Kingdom,0
274,2,374.53,United Kingdom,1
20,5,1382.74,United Kingdom,0
144,1,90.0,United Kingdom,1
4,4,2758.35,United Kingdom,0
84,1,205.68,United Kingdom,0
11,3,2706.58,United Kingdom,0
8,3,528.0,United Kingdom,0
123,3,709.71,United Kingdom,1
61,2,637.5,United Kingdom,0
2,5,1123.8600000000001,United Kingdom,0
319,1,480.91,United Kingdom,1
2,11,3590.83,United Kingdom,0
130,3,584.64,United Kingdom,1
2,15,4547.91,United Kingdom,0
2,2,965.8800000000001,United Kingdom,0
46,1,415.82,United Kingdom,0
4,2,935.05,United Kingdom,0
3,4,915.13,United Kingdom,0
373,1,311.81,United Kingdom,1
134,1,115.8,United Kingdom,1
47,4,3742.2,United Kingdom,0
9,5,4179.0,United Kingdom,0
78,2,483.4,United Kingdom,0
234,1,157.2,United Kingdom,1
221,1,446.62,United Kingdom,1
36,2,658.64,United Kingdom,0
75,2,621.29,United Kingdom,0
239,2,1165.57,United Kingdom,1
266,1,118.75,United Kingdom,1
10,55,98144.64,EIRE,0
20,2,424.89000000000004,United Kingdom,0
40,1,507.66,United Kingdom,0
20,11,4628.35,United Kingdom,0
216,3,1097.6200000000001,United Kingdom,1
174,2,289.36,United Kingdom,1
87,4,2373.91,United Kingdom,0
71,2,1488.57,United Kingdom,0
276,1,120.44,United Kingdom,1
39,4,562.59,United Kingdom,0
98,1,363.79,United Kingdom,1
11,4,448.84,United Kingdom,0
33,1,134.46,United Kingdom,0
60,3,3204.3,United Kingdom,0
297,4,576.9000000000001,United Kingdom,1
86,4,549.46,United Kingdom,0
9,7,1601.46,United Kingdom,0
41,2,701.57,United Kingdom,0
11,25,4529.47,United Kingdom,0
67,1,452.89,United Kingdom,0
331,1,47.599999999999994,United Kingdom,1
31,6,2054.36,United Kingdom,0
2,15,4654.08,United Kingdom,0
2,13,4684.76,United Kingdom,0
68,2,853.39,United Kingdom,0
5,21,11321.12,United Kingdom,0
202,2,597.2,United Kingdom,1
107,1,335.52,United Kingdom,1
18,4,696.4,United Kingdom,0
218,1,185.39999999999998,United Kingdom,1
60,7,747.44,United Kingdom,0
2,1,150.61,United Kingdom,0
17,2,466.7,United Kingdom,0
239,1,328.15999999999997,United Kingdom,1
95,1,151.74,United Kingdom,1
11,6,2063.43,United Kingdom,0
106,6,1905.8400000000001,United Kingdom,1
53,9,2241.1,United Kingdom,0
90,1,938.0,United Kingdom,0
31,5,1000.38,United Kingdom,0
12,6,1789.72,United Kingdom,0
3,4,1829.2,United Kingdom,0
2,17,1998.98,United Kingdom,0
43,1,169.48000000000002,United Kingdom,0
4,1,89.94,United Kingdom,0
247,2,632.4,United Kingdom,1
42,9,3414.1,United Kingdom,0
177,1,683.17,United Kingdom,1
92,3,991.13,United Kingdom,1
110,4,993.73,United Kingdom,1
29,5,2137.19,United Kingdom,0
26,10,3350.96,United Kingdom,0
52,3,1547.2,United Kingdom,0
184,3,875.71,United Kingdom,1
43,5,2048.07,United Kingdom,0
49,4,1404.72,United Kingdom,0
22,4,762.12,United Kingdom,0
75,5,3144.86,United Kingdom,0
81,2,490.86,United Kingdom,0
373,1,157.0,United Kingdom,1
326,1,146.85,United Kingdom,1
43,11,2376.85,United Kingdom,0
30,2,890.34,United Kingdom,0
184,1,213.70000000000002,United Kingdom,1
235,2,280.55,United Kingdom,1
9,10,2588.77,United Kingdom,0
220,2,1693.45,United Kingdom,1
111,3,1474.06,United Kingdom,1
278,1,136.76999999999998,United Kingdom,1
318,1,302.58,United Kingdom,1
7,3,1904.05,United Kingdom,0
2,5,2879.7000000000003,United Kingdom,0
260,2,969.0600000000001,United Kingdom,1
64,5,2953.92,United Kingdom,0
9,9,11806.22,United Kingdom,0
142,1,120.0,United Kingdom,1
51,2,1163.45,United Kingdom,0
8,8,2618.23,United Kingdom,0
155,2,333.97,United Kingdom,1
109,2,526.18,Unspecified,1
163,3,1516.24,United Kingdom,1
332,1,492.65000000000003,United Kingdom,1
226,1,112.32,United Kingdom,1
74,2,439.96,United Kingdom,0
51,4,559.97,United Kingdom,0
99,3,1119.74,United Kingdom,1
15,3,4151.9,France,0
197,1,134.04,United Kingdom,1
3,15,3717.12,United Kingdom,0
31,2,595.25,United Kingdom,0
21,4,1908.01,United Kingdom,0
24,3,4628.75,United Kingdom,0
8,3,173.75,United Kingdom,0
213,1,426.6,United Kingdom,1
9,6,911.26,United Kingdom,0
11,5,2289.65,United Kingdom,0
2,11,3881.25,United Kingdom,0
8,9,4867.93,United Kingdom,0
3,4,1046.56,United Kingdom,0
40,1,166.20000000000002,United Kingdom,0
18,4,1305.33,United Kingdom,0
8,44,49602.75,United Kingdom,0
8,9,3902.14,United Kingdom,0
19,1,43.2,United Kingdom,0
117,1,618.54,United Kingdom,1
223,1,382.45,United Kingdom,1
71,3,1858.91,United Kingdom,0
51,2,2056.04,United Kingdom,0
89,6,2989.72,United Kingdom,0
8,9,2300.69,United Kingdom,0
243,1,310.26,United Kingdom,1
47,6,1601.59,United Kingdom,0
107,1,124.8,United Kingdom,1
45,6,2454.13,United Kingdom,0
65,1,508.58000000000004,United Kingdom,0
207,2,477.79,United Kingdom,1
11,5,1538.75,United Kingdom,0
115,2,605.0600000000001,United Kingdom,1
242,1,183.85,United Kingdom,1
163,1,311.65,United Kingdom,1
17,7,4919.96,United Kingdom,0
124,2,462.65999999999997,United Kingdom,1
23,3,840.21,United Kingdom,0
68,1,415.2,United Kingdom,0
17,8,2552.21,United Kingdom,0
16,2,454.86,Germany,0
17,4,1614.91,United Kingdom,0
161,2,588.22,United Kingdom,1
243,1,309.52,United Kingdom,1
219,1,134.7,United Kingdom,1
45,8,2166.98,United Kingdom,0
21,4,668.5600000000001,United Kingdom,0
127,8,864.9300000000001,United Kingdom,1
39,1,108.97999999999999,United Kingdom,0
121,2,951.53,United Kingdom,1
260,1,409.57,United Kingdom,1
10,1,133.5,United Kingdom,0
274,1,282.93,United Kingdom,1
165,1,51.0,United Kingdom,1
157,4,1076.96,United Kingdom,1
215,1,90.6,United Kingdom,1
6,2,163.62,United Kingdom,0
366,1,174.4,United Kingdom,1
80,2,701.23,United Kingdom,0
43,1,225.12,United Kingdom,0
19,3,910.18,United Kingdom,0
32,4,2104.33,United Kingdom,0
22,1,151.5,United Kingdom,0
109,8,3717.35,United Kingdom,1
8,16,9227.82,United Kingdom,0
320,1,155.0,United Kingdom,1
295,1,100.5,United Kingdom,1
358,1,66.55,United Kingdom,1
185,1,235.56,United Kingdom,1
191,2,591.05,United Kingdom,1
44,2,348.1,United Kingdom,0
52,1,202.68,United Kingdom,0
26,1,628.89,United Kingdom,0
38,3,1255.69,United Kingdom,0
9,3,202.11,United Kingdom,0
297,1,142.4,United Kingdom,1
33,3,1704.2,United Kingdom,0
10,8,3212.84,United Kingdom,0
65,2,1043.46,United Kingdom,0
10,9,4617.57,United Kingdom,0
218,1,67.95,United Kingdom,1
2,9,3479.91,United Kingdom,0
65,2,487.99,United Kingdom,0
3,19,2595.68,United Kingdom,0
149,1,574.7,United Kingdom,1
4,13,4042.12,United Kingdom,0
130,4,1475.81,United Kingdom,1
34,6,1451.6399999999999,United Kingdom,0
119,1,156.75,United Kingdom,1
107,6,2112.88,United Kingdom,1
11,7,2599.03,United Kingdom,0
71,6,2018.0500000000002,United Kingdom,0
92,9,1100.27,United Kingdom,1
311,1,1063.0,United Kingdom,1
43,2,778.03,United Kingdom,0
362,1,121.05,United Kingdom,1
92,7,1484.1,United Kingdom,1
1,13,5853.57,United Kingdom,0
22,2,490.22,United Kingdom,0
4,3,1912.25,United Kingdom,0
11,6,1051.79,United Kingdom,0
99,1,387.52,United Kingdom,1
57,2,813.11,United Kingdom,0
1,6,4263.64,United Kingdom,0
218,1,265.2,United Kingdom,1
18,1,322.08,United Kingdom,0
24,10,4477.67,United Kingdom,0
50,2,363.34000000000003,United Kingdom,0
7,5,1214.01,United Kingdom,0
303,1,470.36,United Kingdom,1
10,6,2249.46,United Kingdom,0
22,6,1372.8,United Kingdom,0
99,1,89.06,United Kingdom,1
366,1,63.0,United Kingdom,1
306,1,131.9,United Kingdom,1
320,1,2661.24,Greece,1
8,5,2357.6800000000003,United Kingdom,0
1,4,1711.19,United Kingdom,0
205,2,1559.82,Channel Islands,1
54,4,1399.2,United Kingdom,0
1,4,1014.1899999999999,United Kingdom,0
19,5,1163.23,United Kingdom,0
9,2,375.35,United Kingdom,0
19,4,885.8,United Kingdom,0
181,3,483.25,United Kingdom,1
60,2,643.9,United Kingdom,0
11,2,257.05,United Kingdom,0
190,1,119.93,United Kingdom,1
5,9,3026.7599999999998,United Kingdom,0
311,1,113.64,United Kingdom,1
155,1,1837.92,United Kingdom,1
110,3,427.38,United Kingdom,1
148,3,2101.06,United Kingdom,1
66,11,1978.57,United Kingdom,0
98,3,529.5699999999999,United Kingdom,1
247,3,1038.44,United Kingdom,1
29,7,2272.4,United Kingdom,0
18,4,596.26,United Kingdom,0
12,2,441.09,United Kingdom,0
104,8,1830.67,United Kingdom,1
74,2,234.34000000000003,United Kingdom,0
46,1,544.26,United Kingdom,0
72,3,925.85,United Kingdom,0
257,1,193.0,United Kingdom,1
20,4,1309.6,United Kingdom,0
254,2,316.25,United Kingdom,1
11,1,279.05,United Kingdom,0
165,2,636.51,United Kingdom,1
18,6,1963.51,United Kingdom,0
282,1,137.1,United Kingdom,1
50,1,321.92,United Kingdom,0
39,1,162.8,United Kingdom,0
27,6,1148.48,United Kingdom,0
68,1,1064.28,United Kingdom,0
207,1,463.38,United Kingdom,1
175,2,340.93,United Kingdom,1
7,5,2358.24,United Kingdom,0
26,1,139.56,United Kingdom,0
51,2,123.8,United Kingdom,0
312,2,538.8100000000001,United Kingdom,1
309,1,475.37,United Kingdom,1
43,5,1817.22,United Kingdom,0
26,3,808.44,United Kingdom,0
88,3,356.85,United Kingdom,0
184,2,251.21,United Kingdom,1
20,11,2425.83,United Kingdom,0
3,6,3541.26,United Kingdom,0
47,4,673.26,United Kingdom,0
17,8,5817.43,United Kingdom,0
17,5,1960.65,United Kingdom,0
24,6,1365.88,United Kingdom,0
22,2,268.05,United Kingdom,0
11,5,1304.76,United Kingdom,0
188,2,255.27999999999997,United Kingdom,1
101,3,403.75,United Kingdom,1
61,3,990.2,United Kingdom,0
18,6,2071.89,United Kingdom,0
33,2,330.45,United Kingdom,0
64,1,172.37,United Kingdom,0
2,2,270.6,United Kingdom,0
24,4,974.54,United Kingdom,0
108,1,241.09,United Kingdom,1
32,9,1762.78,United Kingdom,0
20,9,4183.9,United Kingdom,0
3,55,8456.13,United Kingdom,0
37,1,364.21999999999997,United Kingdom,0
60,3,578.61,United Kingdom,0
26,6,2793.71,United Kingdom,0
236,4,930.85,United Kingdom,1
25,7,1847.48,United Kingdom,0
3,18,4398.3,United Kingdom,0
60,3,2862.84,United Kingdom,0
260,1,170.95,United Kingdom,1
58,1,355.56,United Kingdom,0
65,2,388.25,United Kingdom,0
16,2,537.48,United Kingdom,0
10,3,952.66,United Kingdom,0
59,8,1453.35,United Kingdom,0
186,1,103.25,United Kingdom,1
29,16,3591.73,United Kingdom,0
24,2,1985.02,United Kingdom,0
5,5,2573.93,United Kingdom,0
4,8,3939.65,United Kingdom,0
151,2,652.8,United Kingdom,1
311,1,289.24,United Kingdom,1
11,2,757.37,United Kingdom,0
18,2,186.23,United Kingdom,0
152,1,164.22,United Kingdom,1
19,5,709.22,United Kingdom,0
10,4,2269.4900000000002,United Kingdom,0
